"V1";"V2"
-0,6639832729135;-0,515907830511095
-0,668505773398821;-0,157241811258054
-0,945146620908911;-0,58485801741242
-0,860882297544001;-0,862717296187508
-0,273483717210999;-0,44318597648569
-0,47849029052553;-0,623870344682227
-0,78732242638466;-1,05107459793245
-0,750919248841252;0,39531662492045
-0,795820725871658;-0,667779797114272
-1,22646065053266;-0,87796848288801
-0,836993337657011;-0,936680149476117
-0,875298680403839;-0,797657366595027
-0,783478292181239;-0,798992032013431
-0,937900099466121;-0,789111087926098
-0,710213287116347;-0,658204271952119
-0,295455590587483;-0,915627674867854
-0,872484877654594;-0,969204400954856
-0,837305592474779;-0,764878223645184
-0,766864055491324;-0,764561450479983
-0,947895256480383;-0,783793492880086
-0,793713359130655;-0,655887862784525
-0,712344732394244;-0,70442489680139
-1,13588535214208;-0,529912649644846
-0,828668501943805;-0,719105642539495
-0,889669907571567;-0,581477877193005
-0,778558362566617;-0,671637060914943
-0,942271179824931;-0,695568754194039
-0,715300703145208;-0,497389276525022
-0,657259243033938;-0,829512371939799
-0,871325976401947;-0,644997655908767
-0,996720739003571;-0,723424622909207
-0,785341031225298;-0,676318868056176
-0,865365425874843;-0,633357672152705
-0,826381636672398;-0,43104201081972
-0,841492640376374;-0,527801035283482
-0,791957951073376;-0,758285162518505
-0,878603024396317;-0,581139524487431
-0,978534454657104;-0,710779767395831
-0,752982729424964;-0,797329624125397
-0,834581817464443;-0,8245233125658
-0,947373031035414;-0,437358974579156
-0,93475741729929;-0,675136305276578
-1,04941077236511;-0,579169661181153
-0,968994474784097;-0,82309513277924
-1,02632522854879;-0,632699253102745
-0,850070028908481;-0,407352255271531
-0,647051997266998;-0,382594822601194
-0,917999929911089;-1,15393196440762
-0,922152517900335;-0,709527132586276
-0,818774058332383;-0,714829971713712
-0,718153564038493;-0,761254295206538
-0,841744185032976;-0,626096245230332
-0,857918997197935;-0,681832840661414
-0,896918605123027;-0,957291197827241
-0,745589595651738;-0,734094171007655
-0,94515072885808;-0,709334161224322
-1,00576923720053;-0,819166837052754
-0,731841614766599;-0,784726258830627
-0,714350219043536;-0,823804466483181
-1,1150574556715;-0,74705422435398
-0,577734508988163;-0,687118452608939
-0,809103559628502;-0,882100213974191
-1,15969058145332;-0,553709081313556
-0,811260732314118;-0,647286685813181
-0,971369754911446;-0,605962419252747
-0,794024482513733;-0,698232678651086
-1,06425112461693;-0,706382435105747
0,00574232086494059;-0,530816391161891
-0,758614622183664;-0,7416468373311
-0,92029915846918;-0,637286164626083
-0,895108028801116;-0,614250824620285
-0,91465633572422;-0,766800294353389
-0,683410159894426;-1,45960783524767
-0,589185977437094;-0,801646612647894
-0,858316178056933;-0,559737823522373
-0,446203929728048;-0,599292592643092
-1,07041116578708;-0,70667568993745
-0,788647733785093;-0,686569544199413
-0,824708793559043;-0,901422172926085
-0,635951377534648;-0,708230293769998
-0,657636986830419;-0,676018601447019
-0,793047785250195;-0,621396335540732
-0,673754091647281;-0,657352674935426
-0,855362660727655;-0,580439159520498
-0,819575447161965;-1,32191539483947
-0,882584707805662;-0,527632724118793
-0,750734776027355;-1,04606297726348
-1,14088152033617;-1,02396123282169
-1,07045481180924;-1,02879185369929
-0,743607299482352;-0,859045108403867
-0,908393041123011;-0,777554409435266
-0,682892561385701;-0,697482774902646
-0,944471577969228;-0,545022402073792
-0,724492884597272;-0,552280992220215
-0,932677801670242;-0,52587150461274
-0,609806422242069;-0,670861504451581
-0,633347251731648;-0,642220455563958
-1,13405643649406;-0,660808702655572
-1,39184906134785;-0,643747252315771
-0,746768129869038;-0,814964557666756
-1,43639676703058;-0,535204469553172
-0,916774707825178;-0,678822859464003
-0,829563747359819;-0,543485471071606
-1,2098255976921;-0,622235312742298
-0,833278992750375;-0,95091159691967
-1,10432171957293;-0,831843329495215
-0,846710998101279;-0,697026970718649
-1,03332658778737;-0,494021168056852
-0,868810475779157;-0,578971785971747
-1,11863865984478;-0,664460421352879
-0,725358688444394;-0,842661320824545
-1,49880494300389;-0,851957233390544
-1,13297729911913;-0,570251555440695
-0,823584876689364;-0,737258842540111
-0,773195034850827;-0,538015627042713
-0,892515752419488;-0,801520020589158
-1,29247318495294;-0,848218820643095
-0,81044100938192;-0,684692055859892
-0,698144839859114;-0,806050227494743
-0,910513158700589;-0,796682835597469
-0,560758877751301;-0,490938549981493
-1,13250915410307;-0,859471867260299
-0,881074983912747;-0,704924930360468
-0,773031099901861;-0,811846612842388
-0,876916804913151;-0,932729428604483
-0,891311912419082;-0,634570225002344
-0,856673335747965;-0,704879164858176
-0,847311600744528;-0,624672828965187
-0,890655886548362;-0,927035911765355
-0,832540423986052;-0,861876641871035
-0,836978866231664;-0,843887000085368
-0,77894462226563;-0,648128296747233
-0,926671475934176;-0,557139959211781
-0,715427291035989;-0,476368647626004
-0,935641046679411;-0,780023849662135
-1,06899523542337;-0,772313967020395
-1,04099519664094;-0,802125105674761
-0,93078357500725;-0,616929526695466
-1,07849690145246;-0,167109498139911
-0,76878874560763;-0,673122526902055
-0,932334556884453;-0,306383547462328
-0,889718336730904;-0,136504130932055
-1,05773403575197;-0,523400367924172
-1,15302175636648;-0,344418862198777
-0,853130768374008;-0,493206790432971
-1,1231023273328;-0,973211995804089
-1,00090410312651;-0,750961346720014
-0,774299804005499;-0,566192118047348
-0,78814146622397;-0,675264643178162
-0,955697407301413;-0,762385729264533
-0,605206528400515;-0,40089510339367
-0,893399954564425;-0,705013632781417
-0,829257823389148;-0,668677600174621
-0,640563093342315;-0,536264078886606
-1,0946576940683;-0,604872221005088
